iter	Passed	Remaining
0	136	13526
1	137	6744
2	138	4475
3	139	3336
4	139	2656
5	140	2202
6	141	1878
7	142	1635
8	143	1446
9	143	1295
10	144	1171
11	145	1067
12	146	979
13	147	903
14	148	838
15	148	781
16	149	730
17	150	685
18	151	644
19	151	607
20	152	573
21	153	542
22	153	514
23	154	488
24	155	465
25	155	443
26	156	422
27	157	403
28	157	385
29	158	369
30	158	353
31	159	339
32	160	325
33	160	312
34	161	300
35	162	288
36	162	277
37	163	266
38	164	256
39	164	247
40	165	238
41	165	228
42	166	220
43	167	212
44	167	204
45	168	197
46	169	190
47	169	183
48	170	177
49	171	171
50	171	164
51	172	159
52	172	153
53	173	147
54	174	142
55	174	137
56	175	132
57	175	127
58	176	122
59	177	118
60	177	113
61	178	109
62	179	105
63	179	101
64	180	97
65	181	93
66	182	89
67	182	85
68	183	82
69	184	78
70	184	75
71	185	72
72	186	68
73	186	65
74	187	62
75	188	59
76	188	56
77	189	53
78	190	50
79	190	47
80	191	44
81	191	42
82	192	39
83	193	36
84	194	34
85	194	31
86	195	29
87	196	26
88	196	24
89	197	21
90	198	19
91	198	17
92	199	15
93	200	12
94	201	10
95	201	8
96	202	6
97	202	4
98	203	2
99	204	0
